ref='/players/playerpage/2901324?o_pos=U'data-o_pos="U">Shohei Ohtani, 2901324?o_pos=U'data-o_pos="U">Shohei Ohtan, P|UT
Dominic Pitelli, 29675800, SS|UT
Victor Roache, 2001083, OF|UT
Mike McCarthy, 2118854, P
Alex FaGalde, 2836853, P
Kevin Padlo, 2211189, 1B|UT
Alex Yarbrough, 2038822, 2B|UT
Yu-Min Lin, 29077690, P
Edgardo Fermin, 2822669, SS|UT
Ivan Melendez, 29075700, 3B|UT
Rashad Brown, 2227898, OF|UT
Brendon Sanger, 2920332, OF|UT
Beau Philip, 3152097, SS|UT
Thomas Jankins, 3152799, P
Jack Pineda, 29085630, SS|UT
Rodney Boone, 29676340, P
Stefan Sabol, 2223752, OF|UT
Scott Kapers, 2932844, C|UT
Lizandro Rodriguez, 29077657, 2B|UT
Jacob Cozart, 29644225, C|UT
Joey Pankake, 2170494, 2B|UT
Aidan Anderson, 29350970, P
Edgar Osuna, 1727410, P
Tommy Collier, 2119036, P
Andrew Barbosa, 2044244, P
Orlando Martinez, 3094348, OF|UT
Giovanny Alfonzo, 2797622, 2B|UT
Julio Frias, 2822798, P
Kyle Robinson, 29644490, P
Andy Weber, 2933191, 3B|UT
Quincy McAfee, 3158533, SS|UT
Angel Moreno, 2228494, OF|UT
Pedro Fernandez, 2822684, P
Robert Kwiatkowski, 28842737, P
Scott Engler, 3157959, P
Hayden Cantrelle, 2836691, 2B|UT
Austin Charles, 29077588, 3B|UT
Robbie Garvey, 1812685, OF|UT
Cristofer Torin, 29090986, SS|UT
Jorge Caballero, 2828976, OF|UT
Isaac Mattson, 2837183, P
Marquis Grissom, 29632459, P
Blake Beers, 29085659, P
Je'Von Ward, 2837653, OF|UT
Carson Sands, 2167347, P
Gabriel Hughes, 28920013, P
Javier Atencio, 29077620, P
Davis Bradshaw, 2836635, OF|UT
Tyler Baum, 3152120, P
Kyle Regnault, 2226784, P
Joey Harris, 2921530, C|UT
Tom Windle, 2066822, P
Jeremy Martinez, 2699271, C|UT
Alex Royalty, 2933068, P
Dakota Jordan, 29644529, OF|UT
Tra'mayne Holmes, 2921576, OF|UT
Lolo Sanchez, 2825732, OF|UT
Noah Miller, 26719722, SS|UT
Adam Macko, 26911808, P
Carmen Mlodzinski, 26615395, P
Zach Daniels, 26635143, OF|UT
Danny Woodrow, 3083189, OF|UT
Gioskar Amaya, 1963327, SS|UT
Jacob Gonzalez, 29153550, SS|UT
Trever Morrison, 2803768, SS|UT
Jhon Nunez, 2915875, C|UT
Gabriel Maciel, 3077720, OF|UT
Kash Mayfield, 29426060, P
Ryan Newell, 2824654, P
Kyle Backhus, 29342223, P
Clayton Andrews, 2836544, P
Cole Roederer, 2932039, OF|UT
Jake Romanski, 2825588, C|UT
Ben Klimesh, 2170149, P
A.J. Puckett, 2453272, P
Reid Birlingmair, 29342229, P
Ofreidy Gomez, 3156918, P
Paul Witt, 28843189, SS|UT
Donald Dewees, 2211208, OF|UT
Narciso Polanco, 29685396, SS|UT
Matthew Barefoot, 26911713, OF|UT
Charlie Valerio, 3156998, C|UT
Melvi Acosta, 2821084, P
Angel Cuenca, 29687312, P
Trey Harris, 3095037, OF|UT
John Spikerman, 29658265, OF|UT
Tyler Baker, 2228460, C|UT
Mitch Lambson, 2178583, P
Cesar Izturis Jr., 3101478, 2B|UT
Rio Gomez, 2836925, P
Collin Snider, 2837534, P
Josh Bostick, 29658244, P
Logan Davidson, 3117929, OF|UT
Christian Olivo, 28851014, SS|UT
Nathan Webb, 26861464, P
Daniel Juarez, 29342291, P
Taylor Murphy, 2169721, OF|UT
Jose Colmenares, 29687311, 2B|UT
Quin Cotton, 26615384, OF|UT
Mitch Brown, 2044493, P
Fenwick Trimble, 29679126, SS|UT
B.J. Lopez, 2804511, C|UT
Jonathan Bowlan, 2931904, P
Ethan Wilson, 26911719, OF|UT
Ben Gobbel, 29091600, SS|UT
Jackson Coutts, 28843183, 1B|UT
Cullen Large, 2837108, 2B|UT
Victor Hurtado, 29339049, OF|UT
Dariel Gomez, 2822995, 1B|UT
Harol Gonzalez, 2823036, P
Alan Garcia, 2228195, OF|UT
Luke Craig, 29683326, P
Jordan Sprinkle, 29075716, SS|UT
Carter Cunningham, 29687313, OF|UT
Evan Rutckyj, 2211465, P
Matt Rudick, 28842588, OF|UT
Paul Richan, 2932032, P
Chris Kachmar, 29342293, P
Cody Dickson, 2592847, P
Brett Netzer, 2837290, 2B|UT
Luis Jean, 2227182, SS|UT
Louie Lechich, 2227979, OF|UT
Lael Lockhart, 29342299, P
Angel Contreras, 29088944, SS|UT
Preston Gainey, 2769303, P
Adrian Florencio, 28837075, P
Leo De Vries, 29339043, SS|UT
Correlle Prime, 2170131, 1B|UT
Max Holy, 29684913, SS|UT
Josuar De Jesus Gonzalez, 29669372, SS|UT
Justice Thompson, 26911711, OF|UT
C.J. Pittaro, 29692150, OF|UT
Ryan Beckman, 1803544, P
Nelson Medina, 29086556, OF|UT
Fabian Williamson, 2122233, P
Joe Cavallaro, 2836706, P
Mitch Trees, 2777674, C|UT
Jose Curpa, 2829320, 2B|UT
Luis Heredia, 1839915, P
Keyshawn Askew, 29342222, P
Tommy Hawke, 29685416, OF|UT
Gregory Duran, 29086249, OF|UT
Cristian Santana, 26643930, 3B|UT
Evan Gates, 29085280, P
Caden Rose, 29678058, OF|UT
Will Holland, 26615358, SS|UT
Chris McMahon, 2837210, P
Jack Wynkoop, 2826673, P
Luarbert Arias, 29342221, P
Tyler Selesky, 2804031, 3B|UT
Grant Wolfram, 29329333, P
Connor Panas, 2919706, 3B|UT
Juan Morillo, 2824548, P
Matt Tomshaw, 2167938, P
Jose Salas, 3152088, OF|UT
Estanli Castillo, 28846847, OF|UT
D.J. Hicks, 2171608, 1B|UT
Yonatan Henriquez, 29688607, 3B|UT
Yeuni Munoz, 29091328, OF|UT
Derek Eitel, 2169996, P
Matt Winn, 2217337, C|UT
Deivis Nadal, 29088492, 2B|UT
Brendt Citta, 28841143, C|UT
Cole Duensing, 2822483, P
Dariel Lopez, 28841665, 3B|UT
Hutton Moyer, 2804931, 2B|UT
Will Matthiessen, 29088491, 1B|UT
Luis Toribio, 3152048, 3B|UT
Ryan Atkinson, 2914712, P
Aldry Acosta, 2829292, P
Luke Gold, 29075732, 1B|UT
Matt Hogan, 29683785, OF|UT
A.J. Ewing, 29658251, OF|UT
Jorel Ortega, 29084158, 2B|UT
Nick Banks, 2507328, OF|UT
John Stankiewicz, 29342349, P
Nolan McLean, 29295981, P
Landon Harper, 29679117, P
Hayden Durke, 29680519, P
Zack Zehner, 2740136, OF|UT
Carter Frederick, 29692379, OF|UT
Lane Ramsey, 29078829, P
Jordan Guerrero, 3157974, P
Eugene Helder, 2921095, SS|UT
Colton Eastman, 2932713, P
Brian Moran, 1812965, P
Arturo Disla, 29686884, 1B|UT
Garabez Rosa, 2119720, SS|UT
Peter Mooney, 2048827, SS|UT
Santiago Chavez, 2227777, C|UT
Tyler Cleveland, 29669927, P
Pascanel Ferreras, 29658252, 2B|UT
Luke Murphy, 29075731, P
Felix Perez, 1804116, OF|UT
Austin Hendrick, 3175185, OF|UT
John Parke, 2837322, P
Steven Echavarria, 29295982, P
Brenden Webb, 1957195, OF|UT
Francisco Hernandez, 2856672, 3B|UT
Frank Lopez, 2227131, P
Shohei Tomioka, 28840205, P
Jose Chacin, 2821969, P
James Roberts, 2120792, SS|UT
Kendall Simmons, 29342343, 2B|UT
Will Morris, 2750021, P
Jesus Pirela, 2169916, P
Herbert Iser, 29088959, C|UT
Nate Easley, 2743628, 2B|UT
Raimon Gomez, 29321938, P
Adam Law, 2171180, OF|UT
Jared Robinson, 3103880, P
Hunter Cole, 2449454, OF|UT
Anderson Brito, 29662098, P
Jake Faherty, 29683433, P
Zach Levenson, 29658259, OF|UT
Zack Showalter, 29295989, P
Hayden Seig, 29342341, P
John Michael Faile, 29680511, C|UT
Trace Bright, 29106580, P
Tanner Dodson, 2931934, OF|UT
Zech Lemond, 2167490, P
Marcos Castanon, 29075733, 3B|UT
Barrett Barnes, 2044539, OF|UT
Peyton Williams, 29086266, 1B|UT
Matt Carasiti, 2218313, P
Carlos Mesa, 2118879, OF|UT
Logan Wagner, 29075727, 1B|UT
Arturo Rodriguez, 2223634, C|UT
Cory Vaughn, 1806352, OF|UT
Max Wagner, 29075739, 3B|UT
Daniel Procopio, 2837361, P
TJ Shook, 29342342, P
Javier Medina, 2211238, P
Brandon Martorano, 29680512, C|UT
Cito Culver, 1757982, SS|UT
Michael Kennedy, 29295983, P
Ahbram Liendo, 29086758, 2B|UT
Russell Smith, 2837529, P
Angelys Nina, 2117268, 2B|UT
Rio Foster, 29658253, OF|UT
KD Kang, 1810684, OF|UT
Blake Quinn, 2921426, P
Alfredo Reyes, 2228189, SS|UT
Stephen Villines, 2837640, P
Vincent Timpanelli, 28838307, P
C.J. Hinojosa, 2227637, SS|UT
Mike Rothenberg, 29088493, C|UT
Zach Franklin, 29692364, P
Ramiro Rodriguez, 2825548, OF|UT
Gabriel Quintana, 2050730, 3B|UT
Manuel Rondon, 3094397, P
Eli Villalobos, 2933176, P
Riley O'Brien, 2837304, P
Josh Whitaker, 1808026, OF|UT
Evan Alexander, 28842147, OF|UT
Vinny Nittoli, 3093626, P
Jared Lakind, 2592851, P
Hansel Moreno, 3094732, SS|UT
Corey Copping, 2786284, P
Jack Dashwood, 29090129, P
Chad Stevens, 2837561, 3B|UT
Joey DeNato, 2921391, P
Cooper Uhl, 29090137, C|UT
Christopher Gau, 2932759, P
Will Klein, 26911770, P
Nick Dunn, 2932707, 2B|UT
Derek Rodriguez, 1655645, P
Jim Haley, 2921500, 3B|UT
Alex Holderbach, 2932821, C|UT
Logan Hofmann, 29092515, P
Alejandro Osuna, 28843020, OF|UT
Ariel Sandoval, 2804684, OF|UT
Tristan Archer, 2734573, P
Rodolfo Duran, 2822500, C|UT
Luis Merejo, 29680189, 1B|UT
Jeremy Pilon, 29632444, P
Blake Drake, 2171192, OF|UT
Angel Rojas, 29087588, 2B|UT
Haylen Green, 29089075, P
Sammy Hernandez, 29326347, C|UT
Jarret Martin, 2107835, P
Aidan Longwell, 29686664, 1B|UT
Cody Milligan, 29080160, OF|UT
Ryan January, 2506927, C|UT
Channy Ortiz, 28837772, SS|UT
Ernesto Liberatore, 3158366, C|UT
Peyton Wilson, 26911672, OF|UT
Alexander Perez, 29091594, SS|UT
Cameron Junker, 29085035, P
Esmil Valencia, 29322040, OF|UT
Winder Diaz, 29087620, 3B|UT
Franklin Torres, 2826284, SS|UT
Tyler Skulina, 2135330, P
Skylar Szynski, 2768554, P
Holden Laws, 2932869, P
Emilio Ogando, 2824739, P
Simon Whiteman, 3158503, SS|UT
Chavez Fernander, 28838570, P
Zach Willeman, 2837685, P
Drew Hasler, 2921300, P
Jake Vogel, 3166584, OF|UT
Joe Sclafani, 2166481, 3B|UT
Blake Rogers, 28838090, P
Jake Slaughter, 2933105, UT
Ryan Jennings, 29342286, P
Nick Vilter, 2227734, 3B|UT
Jose Mujica, 28842607, C|UT
Edwin Mateo, 2829069, OF|UT
Dylan MacLean, 26615440, P
Gabriel Ponce, 29092534, P
Ryne Inman, 3158037, P
Jake Sommers, 26635166, P
Jordan Paroubeck, 2066834, OF|UT
Jeff Kinley, 2921558, P
Luis Moreno, 2829084, P
Michael Gettys, 2167489, OF|UT
Jonathan Hennigan, 3158453, P
Adriel Radney, 29662363, OF|UT
Brian Clark, 2171866, P
Andriel Lantigua, 29091134, C|UT
Travis Banwart, 1813270, P
Osiris Johnson, 2931977, OF|UT
Michael Mader, 2167351, P
Drew Maggi, 1954853, 3B|UT
Arvicent Perez, 2169647, C|UT
Samuel Miranda, 2824453, C|UT
Jesse Medrano, 2837215, 3B|UT
Trey Nielsen, 2216700, P
Connor McCullough, 29342304, P
Pedro Rodriguez, 2170722, P
Quincy Nieporte, 2837295, 1B|UT
Michael Byrne, 2932622, P
Johan Dominguez, 2822450, P
Luis Mendez, 2171293, 3B|UT
Alex Binelas, 26911679, 1B|UT
Emilio Sanchez, 29662447, SS|UT
Jhonleider Salinas, 3096092, P
Grant Kay, 2228190, 2B|UT
Cody Morissette, 26911673, 2B|UT
Leonardo Seminati, 28837773, 1B|UT
Brett Cumberland, 2447466, C|UT
Jack Hurley, 29295917, OF|UT
Kevonte Mitchell, 2920673, OF|UT
Jose Cuas, 2227219, P
Andrew Case, 2804517, P
Kyle Nicolas, 26615404, P
Chance Kirby, 29088490, P
Quincy Latimore, 1670996, OF|UT
Wilman Diaz, 26643916, SS|UT
Peyton Pallette, 29075752, P
Kyle Leahy, 2932872, P
Johan Yan, 1960794, P
Rafael Ramirez, 29088927, SS|UT
Jabari Henry, 2171427, OF|UT
Kendall George, 29153565, OF|UT
Tyler Mattison, 26911773, P
Gustavo Polanco, 2804679, C|UT
Pete Hansen, 29075751, P
Seth Gray, 3158010, 3B|UT
Charlie Pagliarini, 29676687, 3B|UT
Joe Bennie, 2171876, 2B|UT
Forrestt Allday, 2169890, OF|UT
Frankie Tostado, 2837608, OF|UT
Onil Perez, 29322004, C|UT
Mike Reeves, 2171830, C|UT
Blake Rambusch, 29088523, 3B|UT
Courtney Hawkins, 2001080, OF|UT
Edwin Figuera, 2822702, SS|UT
Dillon McNamara, 2824294, P
Luke Little, 29075730, P
Ismael Salgado, 1962827, OF|UT
Jordan Minch, 2921052, P
Brando Mayea, 29321984, OF|UT
Nate Ocker, 28838887, P
Jake Ring, 2915595, OF|UT
Yanquiel Fernandez, 29077686, OF|UT
Travis Ballew, 2226889, P
Connor Hoover, 2837006, 2B|UT
John Russell, 2837444, P
Luke Adams, 29088537, 3B|UT
Austin Hansen, 2932795, P
Maykel Coret, 29669153, OF|UT
Connelly Early, 29658250, P
Joe Rock, 26911764, P
Chase Estep, 29086117, 3B|UT
Kevin Alvarez, 29669151, OF|UT
Jhosmer Alvarez, 29675444, P
Alex Winkelman, 3103461, P
Parker Chavers, 29088522, OF|UT
Aaron Knapp, 2791367, OF|UT
Kingston Liniak, 2932879, OF|UT
Jacob Steinmetz, 26911745, P
Austin Kubitza, 2167474, P
Chase Mobley, 29644486, P
Gionti Turner, 28837567, SS|UT
Nate Dohm, 29644468, P
Luis Chevalier, 29680510, 3B|UT
Steven Zobac, 29445812, P
Frankie Scalzo, 29342340, P
Braylon Payne, 29426046, OF|UT
Helcris Olivarez, 2830125, P
Jake Walsh, 2837650, P
Nathan Lavender, 28842449, P
Tanner Kohlhepp, 26911771, P
Peyton Graham, 29075753, SS|UT
Emerson Jimenez, 2170137, SS|UT
Champ Stuart, 2228475, OF|UT
John Doxakis, 3152123, P
Alexander Palma, 2921007, OF|UT
Ryan Cesarini, 29683453, OF|UT
JoJo Blackmon, 28843204, OF|UT
Luigi Rodriguez, 2120277, 2B|UT
Ricardo Genoves, 2822937, C|UT
Esmerling De La Rosa, 2921533, P
Zach Britton, 28839449, OF|UT
Nick Morreale, 28840968, P
John Murphy, 29680254, P
Tanner Schobel, 29075776, 3B|UT
Marshall Toole, 29683718, OF|UT
Corey Williams, 2228428, P
Ibandel Isabel, 3077692, 1B|UT
Madison Santos, 2932047, OF|UT
Dan Rizzie, 3094751, C|UT
J.C. Flowers, 29085028, P
Miller Diaz, 2218315, P
Kody Funderburk, 2932749, P
D.K. Carey, 2171249, OF|UT
Yamal Encarnacion, 29087621, 2B|UT
Andres Valor, 29322041, OF|UT
Hedbert Perez, 3168848, OF|UT
Trent Deveaux, 3077723, OF|UT
Walter Pennington, 29084394, P
Onix Vega, 2933166, C|UT
Corbin Clouse, 3085541, P
Tyler Tolve, 29080161, C|UT
D.J. Brown, 2915814, P
Tyler Schoff, 29686467, P
Reginald Preciado, 3152091, 3B|UT
Nelson Maldonado, 28837105, 1B|UT
Jackson Fristoe, 29087622, P
Echedry Vargas, 29322042, SS|UT
Edwin Garcia, 2046505, SS|UT
Victor Lizarraga, 26912474, P
Brandon S. White, 28838029, P
Logan Simmons, 2933103, SS|UT
Michael Gomez, 28838275, P
Nathaniel Ochoa Leyva, 29087213, 3B|UT
Tyler Callihan, 3175014, 2B|UT
Nick Longhi, 2227062, 1B|UT
Chris Wright, 28838092, P
Ty Cummings, 29344254, P
Natanael Delgado, 2228463, OF|UT
Kevin Ereu, 29321925, 2B|UT
Yeuris Ramirez, 2825273, SS|UT
Mikey Duarte, 2836826, SS|UT
Joey Morgan, 2837259, C|UT
Connor Lien, 2169889, OF|UT
Michael Arias, 29290937, P
Shane McCarthy, 2837192, P
Mitchell Stumpo, 28838091, P
Jonathan Reynoso, 2044490, OF|UT
Robi Estrada, 1671046, SS|UT
Bryan Mejia, 2226118, 2B|UT
Elier Hernandez, 2121319, OF|UT
Jesse Berardi, 2836603, SS|UT
Sean Mullen, 28838571, P
Bryan Dobzanski, 3157426, P
Cristian Perez, 2825015, SS|UT
Troy Montgomery, 2507198, OF|UT
Leonel Valera, 2826398, SS|UT
Jason Leblebijian, 2226890, 2B|UT
Nick Vespi, 27022466, P
Chris Mokma, 26615449, P
Thomas Milone, 2121909, OF|UT
Mitch Longo, 2918672, OF|UT
Bradley Hanner, 29084414, P
Felix Paulino, 2824915, P
Maddux Bruns, 26719686, P
Mike Nikorak, 2211245, P
Jack Leftwich, 2837119, P
Gregory Barrios, 29091314, SS|UT
Trey McLoughlin, 29084555, P
Angel Franco, 2048677, 2B|UT
Jimmy Govern, 29087924, 2B|UT
Trevor Kelley, 2797616, P
Sandy Gaston, 26912469, P
Aaron Brown, 2167341, OF|UT
Eddy Yean, 26615443, P
Koyo Aoyagi, 29674735, P
Brett Johnson, 3078522, OF|UT
Lucas Benenati, 2804236, P
Edwin Moreno, 2052601, OF|UT
Harrison Spohn, 29087629, SS|UT
Brandon Winokur, 29322049, SS|UT
Andrew Gross, 28838022, P
CJ Van Eyk, 2837626, P
Spencer Nivens, 29321995, OF|UT
Luke Ritter, 3157901, 1B|UT
Joan Delgado, 29678534, OF|UT
Asbel Gonzalez, 29660109, OF|UT
Rosman Verdugo, 29086587, 3B|UT
Alexfri Planez, 26615367, OF|UT
Grant Williams, 2933197, 2B|UT
Logan Sawyer, 29085046, P
Trevor Brigden, 28838021, P
Josh Adamczewski, 29677754, SS|UT
Chase Vallot, 2135270, C|UT
Mike Kaelin, 3093640, P
Olivier Basabe, 2836579, SS|UT
Henry Bolte, 29075697, OF|UT
Joendry Vargas, 29322043, SS|UT
Cody Wilson, 2933202, OF|UT
John Garcia, 29087623, C|UT
Isaac Stebens, 29677743, P
Kevin Rivas, 29675801, C|UT
Khadim Diaw, 29644422, C|UT
Herlis Rodriguez, 2825505, OF|UT
Duncan Snider, 29089645, P
Victor Bericoto, 28846904, 1B|UT
Reydel Medina, 2171835, OF|UT
Jean Cabrera, 29077623, P
Ronny Cruz, 29644421, SS|UT
Carter Spivey, 29675802, P
Tony Pena, 2824982, OF|UT
Braylin Morel, 29662335, OF|UT
Jeff Hendrix, 2915590, OF|UT
Gage Ziehl, 29632450, P
Logan Taylor, 2599644, P
Brock Dykxhoorn, 2791371, P
Denny Brady, 26635140, P
Wendell Rijo, 2170021, 2B|UT
Addison Kopack, 29686706, C|UT
Reed Trimble, 26911706, OF|UT
Johnny Olmstead, 29350973, SS|UT
Gustavo Pierre, 1806865, SS|UT
Jackson Ferris, 29075702, P
Brayan Buelvas, 3166986, OF|UT
Andre Lipcius, 3157915, 3B|UT
Aaron Davenport, 29676341, P
Grant Shepardson, 29644493, P
Damion Carroll, 2171699, P
Dalton Shuffield, 29085631, SS|UT
Daysbel Hernandez, 26615454, P
Milkar Perez, 26912514, 1B|UT
Ricky Oropesa, 1954883, 1B|UT
Joe Rizzo, 2447491, 3B|UT
Khal Stephen, 29644499, P
Zach Brzykcy, 29077691, P
Jackson Cox, 29075701, P
Drew Mount, 3158015, OF|UT
Charlie Szykowny, 29676342, 3B|UT
Edgar Isea, 29687807, P
Spencer Navin, 2171201, C|UT
Cory Lewis, 29295977, P
Henry Henry, 2823289, P
Dennis Raben, 1846224, 1B|UT
Caleb Boushley, 2836633, P
Ricardo Cespedes, 2507904, OF|UT
Ethan Schiefelbein, 29644492, P
Andrew Bellatti, 2167509, P
Francisco Mendoza, 2171183, P
Po-Yu Chen, 29321908, P
Leodany Perez, 28846885, OF|UT
Roberto Baldoquin, 2167493, SS|UT
Austin Peterson, 29632439, P
Kolby Johnson, 29687766, OF|UT
Lyle Lin, 29350972, 1B|UT
Brad Schreiber, 2122258, P
Jonathan Santucci, 29644491, P
Austin Bossart, 2920587, C|UT
Michael Miller, 2228084, C|UT
German Ramirez, 29676054, SS|UT
Ryan Miller, 2837237, P
Cade Gotta, 2171612, OF|UT
Jordan Milbrath, 2824426, P
Kellum Clark, 29350971, OF|UT
Jack Dallas, 2830066, P
Ryan Rolison, 2942982, P
P.J. Francescon, 2170525, P
Jaydenn Estanista, 29077622, P
Louis Silverio, 2825942, OF|UT
Jhailyn Ortiz, 2221783, OF|UT
Bo Way, 2171289, OF|UT
Ryan McNeil, 2794797, P
Gil Luna, 28837128, P
Bryce Jarvis, 3165360, P
Josimar Cousin, 29312288, P
Noelberth Romero, 29686867, 2B|UT
Jose Ramos, 26913048, OF|UT
Luke Dickerson, 29644423, SS|UT
Leonardo Molina, 2167357, OF|UT
Rodney Green, 29644429, OF|UT
Javier Osorio, 29077621, SS|UT
Freddy Guilamo, 28839287, C|UT
Braxton Ashcraft, 2931893, P
Tyson Lewis, 29644437, SS|UT
Brandon Jacobs, 1956929, OF|UT
Joey Krehbiel, 2226904, P
Kelvin Caceres, 29228517, P
Ryan Gebhardt, 2170062, 2B|UT
Jared Wegner, 29675803, OF|UT
Ramon Santos, 2825804, P
Thomas Ponticelli, 2933025, P
Seth Lonsway, 2837140, P
Gabriel Rodriguez, 2837421, 3B|UT
Ryan Watson, 29080198, P
Max White, 2118909, OF|UT
Jeren Kendall, 2835077, OF|UT
Dante Nori, 29426062, OF|UT
Fran Alduey, 26643933, SS|UT
Kevin Kilpatrick, 29085283, OF|UT
Danny De Andrade, 26643927, SS|UT
Jan Hernandez, 2118737, 3B|UT
Gonzalo Sanudo, 2171858, P
Alfred Gutierrez, 2915589, P
Connor Burns, 29352169, C|UT
Nate Savino, 29075744, P
Carlos Lopez, 2226842, OF|UT
Ryde Rodriguez, 2226895, OF|UT
Ben Hess, 29426061, P
Ryan Ritter, 29075765, SS|UT
Miguel Gomez, 29683444, P
Juan Kelly, 2921037, C|UT
L.J. Talley, 28839454, 2B|UT
Ernesto Wilson Martinez, 28841697, 1B|UT
Jack Costello, 29680249, 3B|UT
Ethan Routzahn, 29675844, P
Felix Stevens, 29091601, 1B|UT
Joey Roach, 3158500, C|UT
Corey Baker, 2734288, P
Danny Dopico, 3107128, P
Jake Reed, 2171334, P
Derek Self, 2825861, P
Keith Couch, 2119060, P
Joe LaSorsa, 29083418, P
Miguel Briceno, 29687310, OF|UT
Anthony Jimenez, 2804937, OF|UT
Tavian Josenberger, 29342290, 2B|UT
Mason Denaburg, 2942990, P
Troy Taylor, 29091602, P
Zane Russell, 29675453, P
Luke Tendler, 2228212, OF|UT
Matt Dennis, 28838086, P
Tucker Flint, 29342257, OF|UT
Garrett Farmer, 28838068, P
Devonte Brown, 29089884, OF|UT
Juan Corniel, 28842637, SS|UT
Boone Whiting, 2119289, P
Arnaldo Berrios, 2766201, OF|UT
Ian Gibaut, 2822952, P
Zach Jarrett, 2837036, OF|UT
Dorian Soto, 29669165, SS|UT
Levi Wells, 29683516, P
Joab Gonzalez, 28842466, SS|UT
Corey Rosier, 26911710, OF|UT
Ryan McCarty, 29088704, SS|UT
Marcus Davis, 2225422, 1B|UT
Jay Allen, 26719691, OF|UT
Diego Hernandez, 2930883, OF|UT
Jonathan Cluff, 3158358, OF|UT
Matt Morgan, 2921517, C|UT
Zach Thornton, 1958113, P
Carson Seymour, 29077338, P
Matt Tenuta, 3083969, P
Michael De La Cruz, 2122187, OF|UT
Jose Mena, 2824358, C|UT
Gabe Mosser, 29342315, P
Jesus Valdez, 29091603, 1B|UT
Ryan Ledbetter, 2739981, P
Arjun Nimmala, 29153553, SS|UT
Glenallen Hill Jr., 28840802, SS|UT
Juniel Querecuto, 1959743, 3B|UT
Trent Gilbert, 2171108, 2B|UT
Coleman Huntley, 29085282, P
Aaron Rozek, 29342334, P
Norge Vera, 26643932, P
Matt Williams, 2052556, SS|UT
J.C. Sulbaran, 2216703, P
Kevin Santa, 2837462, 2B|UT
Walker Janek, 29426063, C|UT
Jimmy Herron, 2836986, OF|UT
Michael Freeman, 2228193, P
Druw Jones, 28920006, OF|UT
Baron Radcliff, 2837367, OF|UT
Jake Yacinich, 2171290, SS|UT
Jordan Serena, 2804228, SS|UT
Bryson Myles, 2051179, OF|UT
Malique Ziegler, 2910618, OF|UT
Marc Church, 28840801, P
Diego Velasquez, 26643931, SS|UT
David Griffin, 29085281, P
Matt Brill, 2836648, P
Nik McClaughry, 29351814, SS|UT
Hector Lujan, 2918654, P
Hector Osorio, 29686710, OF|UT
Daniel Vellojin, 26912428, C|UT
Miguelangel Sierra, 2507360, SS|UT
Modeifi Marte, 29089905, 1B|UT
Jhonathan Diaz, 2822412, P
Aidan Miller, 29153559, SS|UT
Zach Bryant, 29675430, P
Patrick Johnson, 2223638, P
Sam Lewis, 2693897, P
Sam Bachman, 26719581, P
James Beard, 26615376, OF|UT
Zach Cole, 29096117, OF|UT
Travis Sykora, 29295943, P
Oliver Tejada, 29662337, OF|UT
T.J. Sikkema, 3117938, P
William Kempner, 29678053, P
Ray-Patrick Didder, 2739960, SS|UT
Jimmy Glowenke, 26615359, SS|UT
Kyle Hayes, 29667765, C|UT
Jamari Baylor, 26615353, SS|UT
Danny Diekroeger, 2171862, 3B|UT
Starling Heredia, 2507502, OF|UT
Montrell Marshall, 2915695, SS|UT
Jackson Finley, 29687805, P
J.P. Sportman, 2170515, OF|UT
Cade Denton, 29321916, P
Juan Gonzalez, 2209465, P
James Farris, 2656660, P
Brandon Montgomery, 2915615, 2B|UT
Michael Helman, 2932803, OF|UT
Deury Carrasco, 2829875, SS|UT
Connor Lunn, 29084370, P
A.J. Murray, 2803411, C|UT
Rodrigo Vigil, 2120689, C|UT
Adrian Rondon, 2167423, 2B|UT
Greg Nappo, 2117126, P
Brallan Perez, 2226581, SS|UT
Luis Aviles, 2746790, SS|UT
Shane Sasaki, 28842589, OF|UT
Branden Fryman, 28840612, SS|UT
Brett Langhorne, 2932866, 3B|UT
Emil Morales, 29339048, SS|UT
Wilfred Veras, 26912490, OF|UT
Robby Martin, 26911694, OF|UT
Hao Yu Lee, 29077614, 2B|UT
Stephen Paolini, 28838954, OF|UT
Ben Madison, 2932897, P
Shane Opitz, 1963305, SS|UT
Ivan Armstrong, 28841189, P
Grant Sides, 2171340, P
David Walker, 2226324, OF|UT
Brenden Dixon, 28842582, SS|UT
Pedro Martinez, 3158362, 2B|UT
Michael Russell, 2782923, SS|UT
Thomas Dillard, 3152044, C|UT
Matt Dyer, 29092496, C|UT
Nigel Belgrave, 29321890, P
Ronny Rojas, 28846887, SS|UT
Matt Imhof, 2167486, P
Danuerys De La Cruz, 28843166, C|UT
Walking Cabrera, 2864364, OF|UT
Tsung-Che Cheng, 28842581, SS|UT
Buddy Borden, 2803671, P
Frainyer Chavez, 3103548, SS|UT
Trey Dombroski, 29295975, P
Yassel Pino, 28843188, 3B|UT
Aldrich De Jongh, 2932683, OF|UT
Cal Towey, 2171869, 1B|UT
Max Anderson, 29295894, 2B|UT
Francisco Rios, 2507524, P
Brandon Alger, 2170011, P
Kevin Bazzell, 29644414, C|UT
Jason Pineda, 2837350, 1B|UT
Roberto Caro, 2821836, OF|UT
Vaun Brown, 29077351, OF|UT
Andrew Jenkins, 29678052, 1B|UT
