IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,BREFID,ESPNID,ESPNNAME,BPID,FANTPROSNAME,LASTCOMMAFIRST,RAZZBALLNAME
arauzjo01,Jonathan Arauz,Jonathan,Arauz,20275,Jonathan Arauz,660620,Jonathan Arauz,2226223,Jonathan Arauz,arauzjo01,34963,Jonathan Arauz,105509,Jonathan Arauz,"Arauz, Jonathan",Jonathan Arauz
davisjo05,Jonathan Davis,Jonathan,Davis,15104,Jonathan Davis,641505,Jonathan Davis,2791376,Jonathan Davis,davisjo05,38161,Jonathan Davis,102564,Jonathan Davis,"Davis, Jonathan",Jonathan Davis
heasljo01,Jonathan Heasley,Jonathan,Heasley,22224,Jonathan Heasley,669169,Jonathan Heasley,2932802,Jon Heasley,heasljo01,,Jonathan Heasley,123117,Jonathan Heasley,"Heasley, Jonathan",Jonathan Heasley
hernajo02,Jonathan Hernandez,Jonathan,Hernandez,17464,Jonathan Hernandez,642546,Jonathan Hernandez,2211788,Jonathan Hernandez,hernajo02,39814,Jonathan Hernandez,103055,Jonathan Hernandez,"Hernandez, Jonathan",Jonathan Hernandez
indiajo01,Jonathan India,Jonathan,India,21523,Jonathan India,663697,Jonathan India,2942965,Jonathan India,indiajo01,41171,Jonathan India,124341,Jonathan India,"India, Jonathan",Jonathan India
loaisjo01,Jonathan Loaisiga,Jonathan,Loaisiga,19753,Jonathan Loaisiga,642528,Jonathan Loaisiga,2899233,Jonathan Loaisiga,loaisjo01,39807,Jonathan Loaisiga,103038,Jonathan Loaisiga,"Loaisiga, Jonathan",Jonathan Loaisiga
schoojo01,Jonathan Schoop,Jonathan,Schoop,11265,Jonathan Schoop,570731,Jonathan Schoop,1840090,Jonathan Schoop,schoojo01,31988,Jonathan Schoop,66391,Jonathan Schoop,"Schoop, Jonathan",Jonathan Schoop
villajo01,Jonathan Villar,Jonathan,Villar,10071,Jonathan Villar,542340,Jonathan Villar,292100,Jonathan Villar,villajo01,31973,Jonathan Villar,59688,Jonathan Villar,"Villar, Jonathan",Jonathan Villar
diazjo03,Jordan Diaz,Jordan,Diaz,22650,Jordan Diaz,672478,Jordan Diaz,2829008,Jordan Diaz,diazjo03,,Jordan Diaz,109731,Jordan Diaz,"Diaz, Jordan",Jordan Diaz
groshjo01,Jordan Groshans,Jordan,Groshans,23794,Jordan Groshans,677954,Jordan Groshans,2942972,Jordan Groshans,groshjo01,,Jordan Groshans,122231,Jordan Groshans,"Groshans, Jordan",Jordan Groshans
hicksjo03,Jordan Hicks,Jordan,Hicks,19618,Jordan Hicks,663855,Jordan Hicks,2507337,Jordan Hicks,hicksjo03,37909,Jordan Hicks,107962,Jordan Hicks,"Hicks, Jordan",Jordan Hicks
hollojo01,Jordan Holloway,Jordan,Holloway,20631,Jordan Holloway,656548,Jordan Holloway,2211221,Jordan Holloway,hollojo01,,Jordan Holloway,104804,Jordan Holloway,"Holloway, Jordan",Jordan Holloway
lawlajo01,Jordan Lawlar,Jordan,Lawlar,sa3017662,Jordan Lawlar,691783,Jordan Lawlar,26720082,Jordan Lawlar,lawlajo01,,Jordan Lawlar,148300,Jordan Lawlar,"Lawlar, Jordan",Jordan Lawlar
luplojo01,Jordan Luplow,Jordan,Luplow,16424,Jordan Luplow,656669,Jordan Luplow,2769144,Jordan Luplow,luplojo01,37580,Jordan Luplow,104833,Jordan Luplow,"Luplow, Jordan",Jordan Luplow
lylesjo01,Jordan Lyles,Jordan,Lyles,7593,Jordan Lyles,543475,Jordan Lyles,1717424,Jordan Lyles,lylesjo01,31061,Jordan Lyles,58407,Jordan Lyles,"Lyles, Jordan",Jordan Lyles
montgjo01,Jordan Montgomery,Jordan,Montgomery,16511,Jordan Montgomery,656756,Jordan Montgomery,2453275,Jordan Montgomery,montgjo01,38173,Jordan Montgomery,104855,Jordan Montgomery,"Montgomery, Jordan",Jordan Montgomery
romanjo03,Jordan Romano,Jordan,Romano,16122,Jordan Romano,605447,Jordan Romano,2734002,Jordan Romano,romanjo03,,,103808,Jordan Romano,"Romano, Jordan",Jordan Romano
walkejo02,Jordan Walker,Jordan,Walker,sa3014464,Jordan Walker,691023,Jordan Walker,3166486,Jordan Walker,walkejo02,,Jordan Walker,147867,Jordan Walker,"Walker, Jordan",Jordan Walker
westbjo01,Jordan Westburg,Jordan,Westburg,sa3014499,Jordan Westburg,676059,Jordan Westburg,26615346,Jordan Westburg,westbjo01,,Jordan Westburg,140632,Jordan Westburg,"Westburg, Jordan",Jordan Westburg
alcaljo01,Jorge Alcala,Jorge,Alcala,19459,Jorge Alcala,660896,Jorge Alcala,2821135,Jorge Alcala,alcaljo01,41031,Jorge Alcala,105466,Jorge Alcala,"Alcala, Jorge",Jorge Alcala
alfarjo01,Jorge Alfaro,Jorge,Alfaro,12180,Jorge Alfaro,595751,Jorge Alfaro,1846227,Jorge Alfaro,alfarjo01,31737,Jorge Alfaro,68062,Jorge Alfaro,"Alfaro, Jorge",Jorge Alfaro
lopezjo02,Jorge Lopez,Jorge,Lopez,14527,Jorge Lopez,605347,Jorge Lopez,2167482,Jorge Lopez,lopezjo02,33833,Jorge Lopez,70464,Jorge Lopez,"Lopez, Jorge",Jorge Lopez
mateojo01,Jorge Mateo,Jorge,Mateo,17273,Jorge Mateo,622761,Jorge Mateo,2167484,Jorge Mateo,mateojo01,33832,Jorge Mateo,101165,Jorge Mateo,"Mateo, Jorge",Jorge Mateo
polanjo01,Jorge Polanco,Jorge,Polanco,13152,Jorge Polanco,593871,Jorge Polanco,2106657,Jorge Polanco,polanjo01,32525,Jorge Polanco,67568,Jorge Polanco,"Polanco, Jorge",Jorge Polanco
solerjo01,Jorge Soler,Jorge,Soler,14221,Jorge Soler,624585,Jorge Soler,1988873,Jorge Soler,solerjo01,32558,Jorge Soler,101657,Jorge Soler,"Soler, Jorge",Jorge Soler
abreujo02,Jose Abreu,Jose,Abreu,15676,Jose Abreu,547989,Jose Abreu,2106364,Jose Abreu,abreujo02,33095,Jose Abreu,102005,Jose Abreu,"Abreu, Jose",Jose Abreu
altuvjo01,Jose Altuve,Jose,Altuve,5417,Jose Altuve,514888,Jose Altuve,1839905,Jose Altuve,altuvjo01,31662,Jose Altuve,55877,Jose Altuve,"Altuve, Jose",Jose Altuve
alvarjo03,Jose Alvarado,Jose,Alvarado,17780,Jose Alvarado,621237,Jose Alvarado,2444515,Jose Alvarado,alvarjo03,36063,Jose Alvarado,100568,Jose Alvarado,"Alvarado, Jose",Jose Alvarado
azocajo01,Jose Azocar,Jose,Azocar,18821,Jose Azocar,640492,Jose Azocar,2222107,Jose Azocar,azocajo01,,Jose Azocar,102464,Jose Azocar,"Azocar, Jose",Jose Azocar
garcijo02,Jose Barrero,Jose,Barrero,23378,Jose Barrero,676480,Jose Barrero,3077714,Jose Barrero,garcijo02,40951,Jose Barrero,111300,Jose Barrero,"Barrero, Jose",Jose Barrero
berrijo01,Jose Berrios,Jose,Berrios,14168,Jose Berrios,621244,Jose Berrios,2044503,Jose Berrios,berrijo01,32811,Jose Berrios,100574,Jose Berrios,"Berrios, Jose",Jose Berrios
castijo03,Jose Castillo,Jose,Castillo,17169,Jose Castillo,620454,Jose Castillo,2900487,Jose Castillo,castijo03,38706,Jose Castillo,102119,Jose Castillo,"Castillo, Jose",Jose Castillo
cisnejo01,Jose Cisnero,Jose,Cisnero,6399,Jose Cisnero,542585,Jose Cisnero,2044205,Jose Cisnero,cisnejo01,31673,Jose Cisnero,59872,Jose Cisnero,"Cisnero, Jose",Jose Cisnero
deleojo01,Jose De Leon,Jose,De Leon,15463,Jose De Leon,592254,Jose De Leon,2167459,Jose De Leon,deleojo01,33831,Jose De Leon,102032,Jose De Leon,"De Leon, Jose",Jose De Leon
hernajo03,Jose Hernandez,Jose,Hernandez,sa928463,Jose Hernandez,669796,Jose Hernandez,29038651,Jose Hernandez,hernajo03,,Jose Hernandez,108918,Jose Hernandez,"Hernandez, Jose",Jose Hernandez
herrejo04,Jose Herrera,Jose,Herrera,17040,Jose Herrera,645444,Jose Herrera,2211744,Jose Herrera,herrejo04,,Jose Herrera,104033,Jose Herrera,"Herrera, Jose",Jose Herrera
iglesjo01,Jose Iglesias,Jose,Iglesias,10231,Jose Iglesias,578428,Jose Iglesias,1707364,Jose Iglesias,iglesjo01,30382,Jose Iglesias,61044,Jose Iglesias,"Iglesias, Jose",Jose Iglesias
leclejo01,Jose Leclerc,Jose,Leclerc,14524,Jose Leclerc,600917,Jose Leclerc,2170066,Jose Leclerc,leclejo01,33926,Jose Leclerc,69377,Jose Leclerc,"Leclerc, Jose",Jose Leclerc
lopezjo04,Jose Lopez,Jose,Lopez,sa3003055,Jose Lopez,673111,Jose Lopez,2829903,Jose Lopez,lopezjo04,,Jose Lopez,110202,Jose Lopez,"Lopez, Jose",Jose Lopez
miranjo01,Jose Miranda,Jose,Miranda,20538,Jose Miranda,669304,Jose Miranda,26615340,Jose Miranda,miranjo01,41000,Jose Miranda,108236,Jose Miranda,"Miranda, Jose",Jose Miranda
quijajo01,Jose Quijada,Jose,Quijada,19200,Jose Quijada,650671,Jose Quijada,2825214,Jose Quijada,quijajo01,,Jose Quijada,104324,Jose Quijada,"Quijada, Jose",Jose Quijada
quintjo01,Jose Quintana,Jose,Quintana,11423,Jose Quintana,500779,Jose Quintana,1913316,Jose Quintana,quintjo01,32106,Jose Quintana,51645,Jose Quintana,"Quintana, Jose",Jose Quintana
ramirjo01,Jose Ramirez,Jose,Ramirez,13510,Jose Ramirez,608070,Jose Ramirez,2044495,Jose Ramirez,ramirjo01,32801,Jose Ramirez,70217,Jose Ramirez,"Ramirez, Jose",Jose Ramirez
rojasjo02,Jose Rojas,Jose,Rojas,19331,Jose Rojas,670351,Jose Rojas,2920936,Jose Rojas,rojasjo02,,Jose Rojas,108508,Jose Rojas,"Rojas, Jose",Jose Rojas
ruizjo01,Jose Ruiz,Jose,Ruiz,14552,Jose Ruiz,614179,Jose Ruiz,2498754,Jose Ruiz,ruizjo01,36053,Jose Ruiz,100408,Jose Ruiz,"Ruiz, Jose",Jose Ruiz
sirijo01,Jose Siri,Jose,Siri,17452,Jose Siri,642350,Jose Siri,2170135,Jose Siri,sirijo01,33954,Jose Siri,102876,Jose Siri,"Siri, Jose",Jose Siri
suarejo01,Jose Suarez,Jose,Suarez,19911,Jose Suarez,660761,Jose Suarez,2928771,Jose Suarez,suarejo01,40981,Jose Suarez,106975,Jose Suarez,"Suarez, Jose",Jose Suarez
trevijo01,Jose Trevino,Jose,Trevino,16725,Jose Trevino,624431,Jose Trevino,2226828,Jose Trevino,trevijo01,35268,Jose Trevino,101621,Jose Trevino,"Trevino, Jose",Jose Trevino
urenajo01,Jose Urena,Jose,Urena,11589,Jose Urena,570632,Jose Urena,2053483,Jose Urena,urenajo01,33107,Jose Urena,66311,Jose Urena,"Urena, Jose",Jose Urena
urquijo01,Jose Urquidy,Jose,Urquidy,18413,Jose Urquidy,664353,Jose Urquidy,2228194,Jose Urquidy,urquijo01,35759,Jose Urquidy,106145,Jose Urquidy,"Urquidy, Jose",Jose Urquidy
belljo02,Josh Bell,Josh,Bell,13145,Josh Bell,605137,Josh Bell,1940495,Josh Bell,belljo02,32517,Josh Bell,70775,Josh Bell,"Bell, Josh",Josh Bell
donaljo02,Josh Donaldson,Josh,Donaldson,5038,Josh Donaldson,518626,Josh Donaldson,1493883,Josh Donaldson,donaljo02,29563,Josh Donaldson,56185,Josh Donaldson,"Donaldson, Josh",Josh Donaldson
flemijo01,Josh Fleming,Josh,Fleming,20418,Josh Fleming,676596,Josh Fleming,2836874,Josh Fleming,flemijo01,42615,Josh Fleming,109826,Josh Fleming,"Fleming, Josh",Josh Fleming
haderjo01,Josh Hader,Josh,Hader,14212,Josh Hader,623352,Josh Hader,2044482,Josh Hader,haderjo01,32760,Josh Hader,101384,Josh Hader,"Hader, Josh",Josh Hader
harrijo05,Josh Harrison,Josh,Harrison,8202,Josh Harrison,543281,Josh Harrison,1670494,Josh Harrison,harrijo05,30934,Josh Harrison,57951,Josh Harrison,"Harrison, Josh",Josh Harrison
jungjo01,Josh Jung,Josh,Jung,26299,Joshua Jung,673962,Josh Jung,3117479,Josh Jung,jungjo01,42437,Josh Jung,142220,Josh Jung,"Jung, Josh",Josh Jung
lindbjo01,Josh Lindblom,Josh,Lindblom,7882,Josh Lindblom,458676,Josh Lindblom,1667061,Josh Lindblom,lindbjo01,30585,Josh Lindblom,58386,Josh Lindblom,"Lindblom, Josh",Josh Lindblom
lowejo01,Josh Lowe,Josh,Lowe,19953,Josh Lowe,666139,Josh Lowe,2250598,Joshua Lowe,lowejo01,,,108118,Josh Lowe,"Lowe, Josh",Josh Lowe
naylojo01,Josh Naylor,Josh,Naylor,18839,Josh Naylor,647304,Josh Naylor,2184448,Josh Naylor,naylojo01,35066,Josh Naylor,106548,Josh Naylor,"Naylor, Josh",Josh Naylor
rogerjo01,Josh Rogers,Josh,Rogers,18510,Josh Rogers,642028,Josh Rogers,2915877,Josh Rogers,rogerjo01,,Josh Rogers,106791,Josh Rogers,"Rogers, Josh",Josh Rogers
rojasjo01,Josh Rojas,Josh,Rojas,19734,Josh Rojas,668942,Josh Rojas,2837427,Josh Rojas,rojasjo01,40718,Josh Rojas,110699,Josh Rojas,"Rojas, Josh",Josh Rojas
sborzjo01,Josh Sborz,Josh,Sborz,18323,Josh Sborz,622250,Josh Sborz,2453271,Josh Sborz,sborzjo01,,Josh Sborz,106871,Josh Sborz,"Sborz, Josh",Josh Sborz
smithjo11,Josh Smith,Josh,Smith,26396,Josh H. Smith,669701,Josh H. Smith,2837649,Josh H. Smith,smithjo11,,Josh Smith,137201,Josh Smith,"Smith, Josh",Josh Smith
staumjo01,Josh Staumont,Josh,Staumont,18335,Josh Staumont,622251,Josh Staumont,2211250,Josh Staumont,staumjo01,,,106956,Josh Staumont,"Staumont, Josh",Josh Staumont
vanmejo01,Josh VanMeter,Josh,VanMeter,15170,Josh VanMeter,642165,Josh VanMeter,2119087,Josh VanMeter,vanmejo01,33336,Josh VanMeter,102777,Josh VanMeter,"VanMeter, Josh",Josh VanMeter
winckjo01,Josh Winckowski,Josh,Winckowski,22387,Josh Winckowski,670174,Josh Winckowski,26615442,Josh Winckowski,winckjo01,,Josh Winckowski,109278,Josh Winckowski,"Winckowski, Josh",Josh Winckowski
windejo01,Josh Winder,Josh,Winder,24606,Josh Winder,680739,Josh Winder,2933206,Josh Winder,windejo01,,Josh Winder,141113,Josh Winder,"Winder, Josh",Josh Winder
jamesjo02,Joshua James,Joshua,James,16794,Joshua James,657624,Joshua James,2953499,Josh James,jamesjo02,41128,Josh James,105129,Josh James,"James, Joshua",Josh James
grayjo03,Josiah Gray,Josiah,Gray,24580,Josiah Gray,680686,Josiah Gray,2931954,Josiah Gray,grayjo03,41165,Josiah Gray,122051,Josiah Gray,"Gray, Josiah",Josiah Gray
moranjo01,Jovani Moran,Jovani,Moran,20422,Jovani Moran,663558,Jovani Moran,26754137,Jovani Moran,moranjo01,,Jovani Moran,107237,Jovani Moran,"Moran, Jovani",Jovani Moran
searsjp01,JP Sears,JP,Sears,23429,JP Sears,676664,JP Sears,2837491,JP Sears,searsjp01,,JP Sears,110810,JP Sears,"Sears, JP",JP Sears
brubajt01,JT Brubaker,JT,Brubaker,17578,JT Brubaker,664141,JT Brubaker,3055541,J.T. Brubaker,brubajt01,41460,JT Brubaker,105635,JT Brubaker,"Brubaker, JT",JT Brubaker
lagarju01,Juan Lagares,Juan,Lagares,5384,Juan Lagares,501571,Juan Lagares,1811887,Juan Lagares,lagarju01,31410,Juan Lagares,50845,Juan Lagares,"Lagares, Juan",Juan Lagares
minayju01,Juan Minaya,Juan,Minaya,10341,Juan Minaya,573668,Juan Minaya,2210084,Juan Minaya,minayju01,34845,Juan Minaya,60317,Juan Minaya,"Minaya, Juan",Juan Minaya
sotoju01,Juan Soto,Juan,Soto,20123,Juan Soto,665742,Juan Soto,2507367,Juan Soto,sotoju01,36969,Juan Soto,107182,Juan Soto,"Soto, Juan",Juan Soto
yepezju01,Juan Yepez,Juan,Yepez,18400,Juan Yepez,660766,Juan Yepez,26793415,Juan Yepez,yepezju01,4895558,Juan Yepez,107149,Juan Yepez,"Yepez, Juan",Juan Yepez
merryju01,Julian Merryweather,Julian,Merryweather,16703,Julian Merryweather,657240,Julian Merryweather,2824403,Julian Merryweather,merryju01,39816,Julian Merryweather,104993,Julian Merryweather,"Merryweather, Julian",Julian Merryweather
rodriju01,Julio Rodriguez,Julio,Rodriguez,23697,Julio Rodriguez,677594,Julio Rodriguez,2825528,Julio Rodriguez,rodriju01,41044,Julio Rodriguez,134822,Julio Rodriguez,"Rodriguez, Julio",Julio Rodriguez
teherju01,Julio Teheran,Julio,Teheran,6797,Julio Teheran,527054,Julio Teheran,1718082,Julio Teheran,teherju01,31091,Julio Teheran,58731,Julio Teheran,"Teheran, Julio",Julio Teheran
uriasju01,Julio Urias,Julio,Urias,14765,Julio Urias,628711,Julio Urias,2073700,Julio Urias,uriasju01,33223,Julio Urias,101992,Julio Urias,"Urias, Julio",Julio Urias
profaju01,Jurickson Profar,Jurickson,Profar,10815,Jurickson Profar,595777,Jurickson Profar,1796123,Jurickson Profar,profaju01,31117,Jurickson Profar,68066,Jurickson Profar,"Profar, Jurickson",Jurickson Profar
dunnju01,Justin Dunn,Justin,Dunn,19268,Justin Dunn,643290,Justin Dunn,2250604,Justin Dunn,dunnju01,40992,Justin Dunn,107737,Justin Dunn,"Dunn, Justin",Justin Dunn
foscuju01,Justin Foscue,Justin,Foscue,sa3014527,Justin Foscue,679822,Justin Foscue,3171729,Justin Foscue,foscuju01,,Justin Foscue,120345,Justin Foscue,"Foscue, Justin",Justin Foscue
steelju01,Justin Steele,Justin,Steele,17312,Justin Steele,657006,Justin Steele,2211224,Justin Steele,steelju01,,Justin Steele,104914,Justin Steele,"Steele, Justin",Justin Steele
turneju01,Justin Turner,Justin,Turner,5235,Justin Turner,457759,Justin Turner,1600680,Justin Turner,turneju01,29607,Justin Turner,51991,Justin Turner,"Turner, Justin",Justin Turner
uptonju01,Justin Upton,Justin,Upton,5222,Justin Upton,457708,Justin Upton,593198,Justin Upton,uptonju01,28841,Justin Upton,51985,Justin Upton,"Upton, Justin",Justin Upton
verlaju01,Justin Verlander,Justin,Verlander,8700,Justin Verlander,434378,Justin Verlander,530362,Justin Verlander,verlaju01,6341,Justin Verlander,45613,Justin Verlander,"Verlander, Justin",Justin Verlander
williju02,Justin Williams,Justin,Williams,15490,Justin Williams,642211,Justin Williams,2066818,Justin Williams,williju02,33862,Justin Williams,102787,Justin Williams,"Williams, Justin",Justin Williams
wilsoju10,Justin Wilson,Justin,Wilson,4301,Justin Wilson,458677,Justin Wilson,1795985,Justin Wilson,wilsoju10,31026,Justin Wilson,59179,Justin Wilson,"Wilson, Justin",Justin Wilson
sheffju01,Justus Sheffield,Justus,Sheffield,17285,Justus Sheffield,656954,Justus Sheffield,2135263,Justus Sheffield,sheffju01,33815,Justus Sheffield,104902,Justus Sheffield,"Sheffield, Justus",Justus Sheffield
malloju02,Justyn-Henry Malloy,Justyn-Henry,Malloy,sa3017073,Justyn-Henry Malloy,669234,Justyn-Henry Malloy,29077345,Justyn-Henry Malloy,malloju02,,Justyn-Henry Malloy,127532,Justyn-Henry Malloy,"Malloy, Justyn-Henry",Justyn-Henry Malloy
tomka01,Ka'ai Tom,Ka'ai,Tom,18136,Ka'ai Tom,664789,Ka'ai Tom,2759863,Ka'ai Tom,tomka01,37342,Ka'ai Tom,107024,Ka'ai Tom,"Tom, Ka'ai",Ka'ai Tom
hayeske01,Ke'Bryan Hayes,Ke'Bryan,Hayes,18577,Ke'Bryan Hayes,663647,Ke'Bryan Hayes,2211187,Ke'Bryan Hayes,hayeske01,35020,Ke'Bryan Hayes,106121,Ke'Bryan Hayes,"Hayes, Ke'Bryan",Ke'Bryan Hayes
wongke01,Kean Wong,Kean,Wong,15994,Kean Wong,642221,Kean Wong,2226623,Kean Wong,wongke01,,Kean Wong,102790,Kean Wong,"Wong, Kean",Kean Wong
akinke01,Keegan Akin,Keegan,Akin,19362,Keegan Akin,669211,Keegan Akin,2449983,Keegan Akin,akinke01,36724,Keegan Akin,108818,Keegan Akin,"Akin, Keegan",Keegan Akin
thompke02,Keegan Thompson,Keegan,Thompson,19795,Keegan Thompson,624522,Keegan Thompson,2837600,Keegan Thompson,thompke02,,Keegan Thompson,101639,Keegan Thompson,"Thompson, Keegan",Keegan Thompson
ruizke01,Keibert Ruiz,Keibert,Ruiz,19610,Keibert Ruiz,660688,Keibert Ruiz,2507339,Keibert Ruiz,ruizke01,38827,Keibert Ruiz,106820,Keibert Ruiz,"Ruiz, Keibert",Keibert Ruiz
gutieke01,Kelvin Gutierrez,Kelvin,Gutierrez,17468,Kelvin Gutierrez,642721,Kelvin Gutierrez,2507902,Kelvin Gutierrez,gutieke01,36994,Kelvin Gutierrez,103215,Kelvin Gutierrez,"Gutierrez, Kelvin",Kelvin Gutierrez
gileske01,Ken Giles,Ken,Giles,12910,Ken Giles,571704,Ken Giles,2044511,Ken Giles,gileske01,32762,Ken Giles,70354,Ken Giles,"Giles, Ken",Ken Giles
waldike01,Ken Waldichuk,Ken,Waldichuk,27681,Ken Waldichuk,686610,Ken Waldichuk,26671992,Ken Waldichuk,waldike01,,Ken Waldichuk,143917,Ken Waldichuk,"Waldichuk, Ken",Ken Waldichuk
graveke01,Kendall Graveman,Kendall,Graveman,15514,Kendall Graveman,608665,Kendall Graveman,2146204,Kendall Graveman,graveke01,33636,Kendall Graveman,102077,Kendall Graveman,"Graveman, Kendall",Kendall Graveman
janseke01,Kenley Jansen,Kenley,Jansen,3096,Kenley Jansen,445276,Kenley Jansen,1208718,Kenley Jansen,janseke01,29630,Kenley Jansen,47965,Kenley Jansen,"Jansen, Kenley",Kenley Jansen
rosenke01,Kenny Rosenberg,Kenny,Rosenberg,20009,Kenny Rosenberg,670046,Kenny Rosenberg,26635162,Kenny Rosenberg,rosenke01,,Kenny Rosenberg,109052,Kenny Rosenberg,"Rosenberg, Kenny",Kenny Rosenberg
maedake01,Kenta Maeda,Kenta,Maeda,18498,Kenta Maeda,628317,Kenta Maeda,2215993,Kenta Maeda,maedake01,34892,Kenta Maeda,102254,Kenta Maeda,"Maeda, Kenta",Kenta Maeda
carpeke01,Kerry Carpenter,Kerry,Carpenter,25961,Kerry Carpenter,681481,Kerry Carpenter,3157914,Kerry Carpenter,carpeke01,,Kerry Carpenter,115478,Kerry Carpenter,"Carpenter, Kerry",Kerry Carpenter
hiurake01,Keston Hiura,Keston,Hiura,20003,Keston Hiura,669374,Keston Hiura,2835061,Keston Hiura,hiurake01,39879,Keston Hiura,110030,Keston Hiura,"Hiura, Keston",Keston Hiura
marteke01,Ketel Marte,Ketel,Marte,13613,Ketel Marte,606466,Ketel Marte,1963334,Ketel Marte,marteke01,32512,Ketel Marte,69790,Ketel Marte,"Marte, Ketel",Ketel Marte
smithke04,Kevan Smith,Kevan,Smith,12284,Kevan Smith,607345,Kevan Smith,2036155,Kevan Smith,smithke04,32618,Kevan Smith,69944,Kevan Smith,"Smith, Kevan",Kevan Smith
gausmke01,Kevin Gausman,Kevin,Gausman,14107,Kevin Gausman,592332,Kevin Gausman,2000033,Kevin Gausman,gausmke01,32667,Kevin Gausman,68557,Kevin Gausman,"Gausman, Kevin",Kevin Gausman
ginkeke01,Kevin Ginkel,Kevin,Ginkel,19876,Kevin Ginkel,656464,Kevin Ginkel,3085906,Kevin Ginkel,ginkeke01,41432,Kevin Ginkel,108893,Kevin Ginkel,"Ginkel, Kevin",Kevin Ginkel
kellyke02,Kevin Kelly,Kevin,Kelly,sa3009999,Kevin Kelly,687330,Kevin Kelly,28840203,Kevin Kelly,kellyke02,,Kevin Kelly,144245,Kevin Kelly,"Kelly, Kevin",Kevin Kelly
kiermke01,Kevin Kiermaier,Kevin,Kiermaier,11038,Kevin Kiermaier,595281,Kevin Kiermaier,1812666,Kevin Kiermaier,kiermke01,31446,Kevin Kiermaier,67964,Kevin Kiermaier,"Kiermaier, Kevin",Kevin Kiermaier
maitake01,Kevin Maitan,Kevin,Maitan,sa969045,Kevin Maitan,670867,Kevin Maitan,2431986,Kevin Maitan,maitake01,38828,Kevin Maitan,109148,Kevin Maitan,"Maitan, Kevin",Kevin Maitan
newmake01,Kevin Newman,Kevin,Newman,17696,Kevin Newman,621028,Kevin Newman,2184455,Kevin Newman,newmake01,35022,Kevin Newman,106558,Kevin Newman,"Newman, Kevin",Kevin Newman
pillake01,Kevin Pillar,Kevin,Pillar,12434,Kevin Pillar,607680,Kevin Pillar,2046044,Kevin Pillar,pillake01,32859,Kevin Pillar,70093,Kevin Pillar,"Pillar, Kevin",Kevin Pillar
plaweke01,Kevin Plawecki,Kevin,Plawecki,13807,Kevin Plawecki,608700,Kevin Plawecki,2066320,Kevin Plawecki,plaweke01,33132,Kevin Plawecki,100316,Kevin Plawecki,"Plawecki, Kevin",Kevin Plawecki
smithke05,Kevin Smith,Kevin,Smith,20242,Kevin Smith,675656,Kevin Smith,2837526,Kevin Smith,smithke05,,Kevin Smith,110855,Kevin Smith,"Smith, Kevin",Kevin Smith
middlke01,Keynan Middleton,Keynan,Middleton,15264,Keynan Middleton,641871,Keynan Middleton,2444540,Keynan Middleton,middlke01,36045,Keynan Middleton,102675,Keynan Middleton,"Middleton, Keynan",Keynan Middleton
leekh01,Khalil Lee,Khalil,Lee,19952,Khalil Lee,666137,Khalil Lee,2507197,Khalil Lee,leekh01,40657,Khalil Lee,108090,Khalil Lee,"Lee, Khalil",Khalil Lee
gloveko01,Koda Glover,Koda,Glover,17695,Koda Glover,606983,Koda Glover,2251065,Koda Glover,gloveko01,36009,Koda Glover,106049,Koda Glover,"Glover, Koda",Koda Glover
sengako01,Kodai Senga,Kodai,Senga,31838,Kodai Senga,673540,Kodai Senga,29046609,Kodai Senga,sengako01,,,136521,Kodai Senga,"Senga, Kodai",Kodai Senga
clemeko01,Kody Clemens,Kody,Clemens,20572,Kody Clemens,665019,Kody Clemens,2932640,Kody Clemens,clemeko01,,Kody Clemens,116408,Kody Clemens,"Clemens, Kody",Kody Clemens
stewako01,Kohl Stewart,Kohl,Stewart,15502,Kohl Stewart,640464,Kohl Stewart,2066292,Kohl Stewart,stewako01,33219,Kohl Stewart,102438,Kohl Stewart,"Stewart, Kohl",Kohl Stewart
allarko01,Kolby Allard,Kolby,Allard,18694,Kolby Allard,663465,Kolby Allard,2184450,Kolby Allard,allarko01,34980,Kolby Allard,107170,Kolby Allard,"Allard, Kolby",Kolby Allard
calhoko01,Kole Calhoun,Kole,Calhoun,11200,Kole Calhoun,594777,Kole Calhoun,1811964,Kole Calhoun,calhoko01,31413,Kole Calhoun,67728,Kole Calhoun,"Calhoun, Kole",Kole Calhoun
wongko01,Kolten Wong,Kolten,Wong,12532,Kolten Wong,543939,Kolten Wong,1894637,Kolten Wong,wongko01,32061,Kolten Wong,70262,Kolten Wong,"Wong, Kolten",Kolten Wong
pilkiko01,Konnor Pilkington,Konnor,Pilkington,21453,Konnor Pilkington,663455,Konnor Pilkington,2933013,Konnor Pilkington,pilkiko01,,Konnor Pilkington,132835,Konnor Pilkington,"Pilkington, Konnor",Konnor Pilkington
leeko01,Korey Lee,Korey,Lee,25543,Korey Lee,686676,Korey Lee,3117932,Korey Lee,leeko01,,Korey Lee,143882,Korey Lee,"Lee, Korey",Korey Lee
bryankr01,Kris Bryant,Kris,Bryant,15429,Kris Bryant,592178,Kris Bryant,2071263,Kris Bryant,bryankr01,33172,Kris Bryant,68520,Kris Bryant,"Bryant, Kris",Kris Bryant
